id,primary_role,secondary_roles
0,Attendee,
1,LO,
2,LO,
3,Attendee,
4,LO,
5,LO,
6,Speaker,
7,Attendee,
8,LO,Attendee
9,Speaker,
10,Attendee,
11,LO,Attendee
12,Attendee,
13,Attendee,
14,PC,Attendee
15,LO,Attendee
16,Attendee,
17,Attendee,
18,Speaker,Attendee
19,LO,Attendee
20,Attendee,
21,PC,
22,Speaker,Attendee
23,Attendee,
24,Attendee,
25,Attendee,
26,LO,Attendee
27,Attendee,
28,Attendee,
29,Speaker,Attendee
30,Speaker,Attendee
31,Attendee,
32,Attendee,
33,Attendee,
34,LO,Attendee
35,LO,
36,Attendee,
37,Attendee,
38,Attendee,
39,Speaker,
40,LO,Attendee
41,Speaker,Attendee
42,Speaker,
43,Attendee,
44,LO,Attendee
45,Attendee,
46,Speaker,Attendee
47,PC,Speaker
48,LO,
49,PC,"LO Attendee"
50,LO,
51,LO,Attendee
52,Attendee,
53,LO,
54,Attendee,
55,Attendee,
56,Attendee,
57,LO,Attendee
58,Attendee,
59,Attendee,
60,Attendee,
61,Speaker,
62,Speaker,Attendee
63,PC,Speaker
64,Attendee,
65,Attendee,
66,LO,Attendee
67,PC,Speaker
68,LO,Attendee
69,Attendee,
70,PC,Speaker
71,Attendee,
72,LO,
